Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Order Ids
2017-05-12T18:00:00Z,"SPY",2017-05-12T18:05:00Z,Sell,207.217478874,207.217478874,962,0,9.62,0,16.68,16.68,0,"	1,2" 
2017-05-12T18:30:00Z,"SPY",2017-05-12T18:35:00Z,Sell,207.139440657,207.208807961,962,-66.73,9.62,-66.73,8.34,75.07,0,"	3,4" 
2017-05-12T19:00:00Z,"SPY",2017-05-12T19:05:00Z,Sell,207.208807961,207.243491613,961,-33.33,9.61,-33.33,0,33.33,0,"	5,6" 
2017-05-12T19:30:00Z,"SPY",2017-05-12T19:45:00Z,Sell,207.087415179,207.226149787,962,-133.46,9.62,-133.46,58.39,191.85,0,"	7,8" 
2017-05-15T14:00:00Z,"SPY",2017-05-15T17:05:00Z,Buy,208.127924739,208.162608391,955,33.12,9.55,0,322.95,289.83,1,"	9,10" 
2017-05-15T17:30:00Z,"SPY",2017-05-15T18:25:00Z,Buy,208.327355738,208.18862113,955,-132.49,9.55,-132.49,57.97,190.46,0,"	11,12" 
2017-05-15T18:30:00Z,"SPY",2017-05-15T18:35:00Z,Buy,208.058557435,208.067228348,955,8.28,9.55,0,16.56,16.56,1,"	13,14" 
2017-05-15T19:00:00Z,"SPY",2017-05-15T19:05:00Z,Buy,208.101912,208.119253826,954,16.54,9.54,0,24.82,16.54,1,"	15,16" 
2017-05-15T19:30:00Z,"SPY",2017-05-15T19:40:00Z,Buy,208.162608391,208.136595652,954,-24.82,9.54,-49.63,66.18,115.81,0,"	17,18" 
2017-05-16T18:00:00Z,"SPY",2017-05-16T18:05:00Z,Sell,208.084570174,208.110582913,954,-24.82,9.54,-24.82,0,24.82,0,"	19,20" 
2017-05-16T18:30:00Z,"SPY",2017-05-16T19:30:00Z,Sell,208.01520287,208.171279304,954,-148.9,9.54,-148.9,16.54,165.44,0,"	21,22" 
2017-05-17T15:00:00Z,"SPY",2017-05-17T15:45:00Z,Sell,205.535321752,206.133614749,964,-576.75,9.64,-576.75,100.31,677.06,0,"	23,24" 
2017-05-17T16:30:00Z,"SPY",2017-05-17T19:58:00Z,Sell,205.795449142,204.512154018,957,1228.11,9.57,-257.24,1228.11,630.65,1,"	25,26" 
2017-05-18T14:30:00Z,"SPY",2017-05-18T15:45:00Z,Buy,205.292536188,204.867661451,971,-412.55,9.71,-412.55,176.81,589.36,0,"	27,28" 
2017-05-18T16:30:00Z,"SPY",2017-05-18T16:50:00Z,Buy,204.928357842,204.858990538,969,-67.22,9.69,-67.22,218.45,285.67,0,"	29,30" 
2017-05-18T17:00:00Z,"SPY",2017-05-18T17:10:00Z,Buy,204.971712407,204.737597756,968,-226.62,9.68,-226.62,50.36,276.98,0,"	31,32" 
2017-05-18T18:00:00Z,"SPY",2017-05-18T19:58:00Z,Buy,205.266523449,205.361903492,964,91.95,9.64,0,827.52,735.57,1,"	33,34" 
2017-05-19T14:00:00Z,"SPY",2017-05-19T19:10:00Z,Buy,206.3677294,206.619185877,960,241.4,9.6,0,874.03,632.63,1,"	35,36" 
2017-05-19T19:30:00Z,"SPY",2017-05-19T19:35:00Z,Buy,206.584502225,206.506464008,961,-74.99,9.61,-116.66,0,116.66,0,"	37,38" 
2017-05-22T14:00:00Z,"SPY",2017-05-22T14:05:00Z,Buy,207.442922612,207.503619003,957,58.09,9.57,-16.6,66.38,16.6,1,"	39,40" 
2017-05-22T16:30:00Z,"SPY",2017-05-22T16:35:00Z,Buy,207.659695437,207.642353611,956,-16.58,9.56,-16.58,24.87,41.45,0,"	41,42" 
2017-05-25T15:30:00Z,"SPY",2017-05-25T15:35:00Z,Buy,209.697359992,209.619321775,946,-73.82,9.46,-73.82,32.81,106.63,0,"	43,44" 
2017-05-25T17:00:00Z,"SPY",2017-05-25T17:25:00Z,Buy,209.723372731,209.593309036,946,-123.04,9.46,-147.65,0,147.65,0,"	45,46" 
2017-05-25T18:00:00Z,"SPY",2017-05-25T18:05:00Z,Buy,209.680018166,209.636663601,944,-40.93,9.44,-40.93,0,40.93,0,"	47,48" 
2017-05-31T14:00:00Z,"SPY",2017-05-31T14:35:00Z,Sell,208.942990561,209.090396082,947,-139.59,9.47,-139.59,238.13,377.72,0,"	49,50" 
2017-05-31T16:00:00Z,"SPY",2017-05-31T16:05:00Z,Sell,209.038370604,209.125079734,945,-81.94,9.45,-81.94,0,81.94,0,"	51,52" 
2017-05-31T17:00:00Z,"SPY",2017-05-31T17:05:00Z,Sell,208.9690033,209.038370604,945,-65.55,9.45,-81.94,0,81.94,0,"	53,54" 
2017-06-01T17:00:00Z,"SPY",2017-06-01T19:58:00Z,Buy,210.417045771,210.815907769,938,374.13,9.38,0,382.27,211.47,1,"	55,56" 
2017-06-02T16:00:00Z,"SPY",2017-06-02T16:45:00Z,Buy,211.604960852,211.518251722,936,-81.16,9.36,-121.74,32.46,121.74,0,"	57,58" 
2017-06-02T17:00:00Z,"SPY",2017-06-02T17:10:00Z,Buy,211.578948113,211.509580809,935,-64.86,9.35,-64.86,24.32,89.18,0,"	59,60" 
2017-06-02T17:30:00Z,"SPY",2017-06-02T18:30:00Z,Buy,211.630973591,211.535593548,934,-89.08,9.34,-89.08,161.97,251.06,0,"	61,62" 
2017-06-02T19:30:00Z,"SPY",2017-06-02T19:50:00Z,Buy,211.709011808,211.5702772,933,-129.44,9.33,-129.44,129.44,258.88,0,"	63,64" 
2017-06-08T14:30:00Z,"SPY",2017-06-08T14:35:00Z,Sell,210.96331329,211.180086115,935,-202.68,9.35,-202.68,0,202.68,0,"	65,66" 
2017-06-09T14:00:00Z,"SPY",2017-06-09T16:15:00Z,Buy,211.986481024,212.107873806,928,112.65,9.28,-56.33,402.33,289.68,1,"	67,68" 
2017-06-09T18:00:00Z,"SPY",2017-06-09T18:05:00Z,Sell,210.945971464,211.22344068,934,-259.16,9.34,-259.16,0,259.16,0,"	69,70" 
2017-06-09T19:00:00Z,"SPY",2017-06-09T19:25:00Z,Sell,210.234956598,211.058693333,935,-770.19,9.35,-770.19,0,770.19,0,"	71,72" 
2017-06-12T14:00:00Z,"SPY",2017-06-12T14:20:00Z,Sell,210.365020293,210.677173161,927,-289.37,9.27,-289.37,120.57,409.93,0,"	73,74" 
2017-06-12T14:30:00Z,"SPY",2017-06-12T14:45:00Z,Sell,210.52976764,210.659831335,923,-120.05,9.23,-144.06,144.06,288.12,0,"	75,76" 
2017-06-12T16:30:00Z,"SPY",2017-06-12T16:35:00Z,Sell,210.425716684,210.555780379,922,-119.92,9.22,-119.92,0,119.92,0,"	77,78" 
2017-06-12T17:00:00Z,"SPY",2017-06-12T17:15:00Z,Sell,210.252298424,210.495083988,922,-223.85,9.22,-223.85,0,223.85,0,"	79,80" 
2017-06-12T18:00:00Z,"SPY",2017-06-12T18:15:00Z,Sell,210.278311163,210.52976764,919,-231.09,9.19,-239.06,0,239.06,0,"	81,82" 
2017-06-12T18:30:00Z,"SPY",2017-06-12T18:35:00Z,Sell,210.434387597,210.61647677,917,-166.98,9.17,-166.98,0,166.98,0,"	83,84" 
2017-06-13T17:30:00Z,"SPY",2017-06-13T17:45:00Z,Buy,211.934455546,211.769708199,908,-149.59,9.08,-157.46,0,157.46,0,"	85,86" 
2017-06-13T18:30:00Z,"SPY",2017-06-13T18:50:00Z,Buy,211.891100981,211.899771894,907,7.86,9.07,-62.92,55.05,117.97,1,"	87,88" 
2017-06-13T19:30:00Z,"SPY",2017-06-13T19:58:00Z,Buy,212.073190154,211.813062764,906,-235.68,9.06,-235.68,7.86,243.53,0,"	89,90" 
2017-06-14T15:00:00Z,"SPY",2017-06-14T16:00:00Z,Sell,211.682999069,211.865088242,906,-164.97,9.06,-172.83,31.42,204.25,0,"	91,92" 
2017-06-14T19:00:00Z,"SPY",2017-06-14T19:50:00Z,Sell,211.318820723,211.787050025,906,-424.22,9.06,-424.22,235.68,659.89,0,"	93,94" 
