Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Order Ids
2017-05-12T18:30:00Z,"SPY",2017-05-12T18:50:00Z,Sell,207.139440657,207.226149787,963,-83.5,9.63,-150.3,8.35,158.65,0,"	1,2" 
2017-05-12T19:30:00Z,"SPY",2017-05-12T19:58:00Z,Sell,207.087415179,207.226149787,962,-133.46,9.62,-133.46,58.39,191.85,0,"	3,4" 
2017-05-15T14:00:00Z,"SPY",2017-05-15T18:40:00Z,Buy,208.127924739,208.093241087,956,-33.16,9.56,-74.6,323.29,397.89,0,"	5,6" 
2017-05-16T18:00:00Z,"SPY",2017-05-16T19:45:00Z,Sell,208.084570174,208.223304782,955,-132.49,9.55,-165.61,99.37,264.98,0,"	7,8" 
2017-05-17T15:00:00Z,"SPY",2017-05-17T19:58:00Z,Sell,205.535321752,204.512154018,966,988.38,9.66,-577.95,988.38,678.46,1,"	9,10" 
2017-05-18T14:30:00Z,"SPY",2017-05-18T16:10:00Z,Buy,205.292536188,204.676901365,977,-601.48,9.77,-643.83,177.9,821.73,0,"	11,12" 
2017-05-18T17:00:00Z,"SPY",2017-05-18T17:25:00Z,Buy,204.971712407,204.867661451,972,-101.14,9.72,-235.99,50.57,286.56,0,"	13,14" 
2017-05-18T18:00:00Z,"SPY",2017-05-18T19:58:00Z,Buy,205.266523449,205.361903492,970,92.52,9.7,0,832.67,740.15,1,"	15,16" 
2017-05-19T14:00:00Z,"SPY",2017-05-19T19:25:00Z,Buy,206.3677294,206.610514964,965,234.29,9.65,0,878.58,702.86,1,"	17,18" 
2017-05-22T14:00:00Z,"SPY",2017-05-22T14:20:00Z,Buy,207.442922612,207.364884395,963,-75.15,9.63,-108.55,100.2,208.75,0,"	19,20" 
2017-05-22T16:30:00Z,"SPY",2017-05-22T17:35:00Z,Buy,207.659695437,207.598999046,961,-58.33,9.61,-83.33,41.66,108.33,0,"	21,22" 
2017-05-25T15:30:00Z,"SPY",2017-05-25T15:50:00Z,Buy,209.697359992,209.411219863,951,-272.12,9.51,-321.6,32.98,354.58,0,"	23,24" 
