Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Order Ids
2017-05-12T18:30:00Z,"SPY",2017-05-12T19:00:00Z,Sell,207.139440657,207.217478874,963,-75.15,9.63,-150.3,8.35,158.65,0,"	1,2" 
2017-05-12T19:30:00Z,"SPY",2017-05-12T19:58:00Z,Sell,207.087415179,207.226149787,962,-133.46,9.62,-133.46,58.39,191.85,0,"	3,4" 
2017-05-15T14:00:00Z,"SPY",2017-05-15T18:30:00Z,Buy,208.127924739,208.049886522,956,-74.6,9.56,-74.6,323.29,397.89,0,"	5,6" 
2017-05-16T18:00:00Z,"SPY",2017-05-16T19:30:00Z,Sell,208.084570174,208.171279304,955,-82.81,9.55,-82.81,99.37,182.18,0,"	7,8" 
2017-05-17T15:00:00Z,"SPY",2017-05-17T16:00:00Z,Sell,205.535321752,206.142285662,966,-586.33,9.66,-586.33,100.51,686.84,0,"	9,10" 
2017-05-17T16:30:00Z,"SPY",2017-05-17T19:58:00Z,Sell,205.795449142,204.512154018,959,1230.68,9.59,-257.78,1230.68,631.97,1,"	11,12" 
2017-05-18T14:30:00Z,"SPY",2017-05-18T16:00:00Z,Buy,205.292536188,204.780952321,973,-497.77,9.73,-497.77,177.17,674.94,0,"	13,14" 
2017-05-18T17:00:00Z,"SPY",2017-05-18T17:30:00Z,Buy,204.971712407,204.815635973,970,-151.39,9.7,-235.5,50.46,285.97,0,"	15,16" 
2017-05-18T18:00:00Z,"SPY",2017-05-18T19:58:00Z,Buy,205.266523449,205.361903492,967,92.23,9.67,0,830.09,737.86,1,"	17,18" 
2017-05-19T14:00:00Z,"SPY",2017-05-19T19:30:00Z,Buy,206.3677294,206.575831312,963,200.4,9.63,0,876.76,701.41,1,"	19,20" 
2017-05-22T14:00:00Z,"SPY",2017-05-22T14:30:00Z,Buy,207.442922612,207.382226221,960,-58.27,9.6,-141.51,99.89,241.4,0,"	21,22" 
2017-05-22T16:30:00Z,"SPY",2017-05-22T17:00:00Z,Buy,207.659695437,207.572986307,958,-83.07,9.58,-83.07,24.92,107.99,0,"	23,24" 
2017-05-25T15:30:00Z,"SPY",2017-05-25T16:00:00Z,Buy,209.697359992,209.359194385,948,-320.58,9.48,-320.58,32.88,353.46,0,"	25,26" 
2017-05-25T17:00:00Z,"SPY",2017-05-25T17:30:00Z,Buy,209.723372731,209.567296297,944,-147.34,9.44,-155.52,0,155.52,0,"	27,28" 
2017-05-25T18:00:00Z,"SPY",2017-05-25T18:30:00Z,Buy,209.680018166,209.654005427,943,-24.53,9.43,-89.94,32.71,89.94,0,"	29,30" 
2017-05-31T14:00:00Z,"SPY",2017-05-31T15:00:00Z,Sell,208.942990561,209.272485255,946,-311.7,9.46,-319.9,237.88,557.78,0,"	31,32" 
2017-05-31T16:00:00Z,"SPY",2017-05-31T16:30:00Z,Sell,209.038370604,209.05571243,943,-16.35,9.43,-139,0,139,0,"	33,34" 
2017-05-31T17:00:00Z,"SPY",2017-05-31T17:30:00Z,Sell,208.9690033,209.003686952,943,-32.71,9.43,-245.3,8.18,245.3,0,"	35,36" 
2017-06-01T17:00:00Z,"SPY",2017-06-01T19:58:00Z,Buy,210.417045771,210.815907769,936,373.33,9.36,0,381.45,211.02,1,"	37,38" 
2017-06-02T16:00:00Z,"SPY",2017-06-02T18:30:00Z,Buy,211.604960852,211.535593548,934,-64.79,9.34,-121.48,186.27,251.06,0,"	39,40" 
2017-06-02T19:30:00Z,"SPY",2017-06-02T19:58:00Z,Buy,211.709011808,211.604960852,933,-97.08,9.33,-129.44,129.44,258.88,0,"	41,42" 
2017-06-08T14:30:00Z,"SPY",2017-06-08T15:00:00Z,Sell,210.96331329,211.206098854,935,-227,9.35,-308.08,0,308.08,0,"	43,44" 
2017-06-09T14:00:00Z,"SPY",2017-06-09T16:30:00Z,Buy,211.986481024,211.839075503,928,-136.79,9.28,-233.35,402.33,635.68,0,"	45,46" 
2017-06-09T18:00:00Z,"SPY",2017-06-09T18:30:00Z,Sell,210.945971464,211.076035159,932,-121.22,9.32,-323.25,0,323.25,0,"	47,48" 
2017-06-09T19:00:00Z,"SPY",2017-06-09T19:30:00Z,Sell,210.234956598,211.128060637,933,-833.27,9.33,-833.27,0,833.27,0,"	49,50" 
2017-06-12T14:00:00Z,"SPY",2017-06-12T15:00:00Z,Sell,210.365020293,210.772553204,925,-376.97,9.25,-401.03,120.31,521.34,0,"	51,52" 
2017-06-12T16:30:00Z,"SPY",2017-06-12T17:30:00Z,Sell,210.425716684,210.581793118,921,-143.75,9.21,-143.75,159.72,303.46,0,"	53,54" 
2017-06-12T18:00:00Z,"SPY",2017-06-12T19:00:00Z,Sell,210.278311163,210.677173161,920,-366.95,9.2,-430.77,0,430.77,0,"	55,56" 
2017-06-13T17:30:00Z,"SPY",2017-06-13T18:00:00Z,Buy,211.934455546,211.839075503,909,-86.7,9.09,-189.16,0,189.16,0,"	57,58" 
2017-06-13T18:30:00Z,"SPY",2017-06-13T19:00:00Z,Buy,211.891100981,211.847746416,909,-39.41,9.09,-94.58,55.17,149.76,0,"	59,60" 
2017-06-13T19:30:00Z,"SPY",2017-06-13T19:58:00Z,Buy,212.073190154,211.813062764,907,-235.94,9.07,-235.94,7.86,243.8,0,"	61,62" 
2017-06-14T15:00:00Z,"SPY",2017-06-14T16:00:00Z,Sell,211.682999069,211.865088242,907,-165.15,9.07,-173.02,31.46,204.48,0,"	63,64" 
2017-06-14T19:00:00Z,"SPY",2017-06-14T19:58:00Z,Sell,211.318820723,211.74369546,907,-385.36,9.07,-503.33,235.94,739.26,0,"	65,66" 
2017-06-16T14:00:00Z,"SPY",2017-06-16T16:00:00Z,Sell,211.01361362,211.10074452,904,-78.77,9.04,-78.77,409.58,488.35,0,"	67,68" 
2017-06-19T14:30:00Z,"SPY",2017-06-19T19:00:00Z,Buy,212.92178033,212.79979707,895,-109.18,8.95,-218.35,226.15,374.31,0,"	69,70" 
2017-06-19T19:30:00Z,"SPY",2017-06-19T19:58:00Z,Buy,212.96534578,213.05247668,894,77.9,8.94,-31.16,202.53,124.63,1,"	71,72" 
2017-06-20T14:00:00Z,"SPY",2017-06-20T14:30:00Z,Sell,212.45998656,212.49483892,897,-31.26,8.97,-187.58,46.89,234.47,0,"	73,74" 
2017-06-20T15:30:00Z,"SPY",2017-06-20T17:00:00Z,Sell,212.40770802,212.40770802,897,0,8.97,-93.79,273.55,281.36,0,"	75,76" 
2017-06-20T17:30:00Z,"SPY",2017-06-20T19:58:00Z,Sell,212.31186403,211.79779172,897,461.12,8.97,-101.6,523.65,242.28,1,"	77,78" 
2017-06-22T15:30:00Z,"SPY",2017-06-22T16:30:00Z,Buy,212.10274987,211.95462734,902,-133.61,9.02,-212.2,0,212.2,0,"	79,80" 
2017-06-22T17:30:00Z,"SPY",2017-06-22T18:00:00Z,Buy,212.10274987,212.06789751,901,-31.4,9.01,-62.8,7.85,70.65,0,"	81,82" 
2017-06-23T15:00:00Z,"SPY",2017-06-23T15:30:00Z,Buy,211.93720116,211.96334043,901,23.55,9.01,-39.25,78.5,117.76,1,"	83,84" 
2017-06-23T16:00:00Z,"SPY",2017-06-23T17:00:00Z,Buy,211.99819279,211.99819279,901,0,9.01,-39.25,125.61,125.61,0,"	85,86" 
2017-06-23T17:30:00Z,"SPY",2017-06-23T18:30:00Z,Buy,212.02433206,211.93720116,901,-78.5,9.01,-78.5,133.46,211.96,0,"	87,88" 
2017-06-26T14:00:00Z,"SPY",2017-06-26T14:30:00Z,Buy,212.91306724,212.74751853,896,-148.33,8.96,-265.44,0,265.44,0,"	89,90" 
