volume,open,high,low,close,caldt
69124685.0,458.81,458.84,454.31,454.76,2023-12-06 00:00:00-05:00
66995446.0,456.91,458.9,456.29,458.23,2023-12-07 00:00:00-05:00
83194404.0,457.46,460.745,457.21,460.2,2023-12-08 00:00:00-05:00
65002247.0,459.69,462.17,459.47,461.99,2023-12-11 00:00:00-05:00
68327617.0,461.63,464.2,460.6,464.1,2023-12-12 00:00:00-05:00
93277960.0,464.49,470.7599,464.12,470.5,2023-12-13 00:00:00-05:00
119026049.0,472.5,473.73,469.25,472.01,2023-12-14 00:00:00-05:00
141553673.0,469.49,470.7,467.4263,469.33,2023-12-15 00:00:00-05:00
70375285.0,470.98,472.98,469.8929,471.97,2023-12-18 00:00:00-05:00
55761805.0,472.53,474.92,472.45,474.84,2023-12-19 00:00:00-05:00
102920959.0,473.96,475.895,467.82,468.26,2023-12-20 00:00:00-05:00
86667465.0,471.33,472.975,468.84,472.7,2023-12-21 00:00:00-05:00
67160419.0,473.86,475.38,471.7,473.65,2023-12-22 00:00:00-05:00
55386952.0,474.07,476.58,473.99,475.65,2023-12-26 00:00:00-05:00
68000311.0,475.44,476.66,474.89,476.51,2023-12-27 00:00:00-05:00
77158116.0,476.88,477.55,476.26,476.69,2023-12-28 00:00:00-05:00
122283149.0,476.49,477.03,473.3,475.31,2023-12-29 00:00:00-05:00
123007793.0,472.16,473.67,470.49,472.65,2024-01-02 00:00:00-05:00
103585866.0,470.43,471.19,468.17,468.79,2024-01-03 00:00:00-05:00
84232169.0,468.3,470.96,467.05,467.28,2024-01-04 00:00:00-05:00
86118913.0,467.49,470.44,466.43,467.92,2024-01-05 00:00:00-05:00
74879074.0,468.43,474.75,468.3,474.6,2024-01-08 00:00:00-05:00
65931439.0,471.87,474.93,471.35,473.88,2024-01-09 00:00:00-05:00
67310640.0,474.16,477.4481,473.87,476.56,2024-01-10 00:00:00-05:00
77940723.0,477.59,478.12,472.26,476.35,2024-01-11 00:00:00-05:00
58026420.0,477.84,478.6,475.23,476.68,2024-01-12 00:00:00-05:00
85014870.0,475.26,476.6098,473.06,474.93,2024-01-16 00:00:00-05:00
68843871.0,471.82,472.79,469.87,472.29,2024-01-17 00:00:00-05:00
91856248.0,474.01,477.06,472.42,476.49,2024-01-18 00:00:00-05:00
110834483.0,477.65,482.72,476.5374,482.43,2024-01-19 00:00:00-05:00
75844931.0,484.01,485.22,482.78,483.45,2024-01-22 00:00:00-05:00
49945297.0,484.01,485.105,482.89,484.86,2024-01-23 00:00:00-05:00
81765039.0,487.81,488.77,484.8819,485.39,2024-01-24 00:00:00-05:00
72524989.0,487.575,488.305,485.39,488.03,2024-01-25 00:00:00-05:00
76641609.0,487.59,489.12,486.54,487.41,2024-01-26 00:00:00-05:00
61322751.0,487.73,491.415,487.17,491.27,2024-01-29 00:00:00-05:00
58618386.0,490.56,491.62,490.11,490.89,2024-01-30 00:00:00-05:00
126011062.0,488.62,489.0813,482.86,482.88,2024-01-31 00:00:00-05:00
91891637.0,484.63,489.23,483.8,489.2,2024-02-01 00:00:00-05:00
99228192.0,489.65,496.05,489.3,494.35,2024-02-02 00:00:00-05:00
75757102.0,493.695,494.3778,490.23,492.55,2024-02-05 00:00:00-05:00
55918602.0,493.52,494.32,492.05,493.98,2024-02-06 00:00:00-05:00
70556506.0,496.29,498.53,495.36,498.1,2024-02-07 00:00:00-05:00
52343636.0,498.1,498.71,497.26,498.32,2024-02-08 00:00:00-05:00
63979375.0,498.84,501.65,498.49,501.2,2024-02-09 00:00:00-05:00
56502283.0,501.17,503.5,500.24,500.98,2024-02-12 00:00:00-05:00
113099199.0,494.53,497.09,490.715,494.08,2024-02-13 00:00:00-05:00
68387827.0,496.79,499.07,494.4,498.57,2024-02-14 00:00:00-05:00
61682960.0,499.29,502.2,498.795,502.01,2024-02-15 00:00:00-05:00
75532928.0,501.7,502.87,498.75,499.51,2024-02-16 00:00:00-05:00
71736740.0,497.72,498.41,494.45,496.76,2024-02-20 00:00:00-05:00
59603771.0,495.42,497.37,493.56,497.21,2024-02-21 00:00:00-05:00
76402535.0,504.01,508.49,503.02,507.5,2024-02-22 00:00:00-05:00
61321818.0,509.27,510.13,507.1,507.85,2024-02-23 00:00:00-05:00
50386738.0,508.3,508.75,505.86,505.99,2024-02-26 00:00:00-05:00
48854528.0,506.7,507.16,504.75,506.93,2024-02-27 00:00:00-05:00
56506634.0,505.33,506.855,504.96,506.26,2024-02-28 00:00:00-05:00
83924795.0,508.07,509.74,505.35,508.08,2024-02-29 00:00:00-05:00
76844844.0,508.98,513.29,508.56,512.85,2024-03-01 00:00:00-05:00
49799257.0,512.03,514.2,512.0,512.3,2024-03-04 00:00:00-05:00
72855623.0,510.24,510.7,504.91,507.18,2024-03-05 00:00:00-05:00
68382367.0,510.55,512.069,508.42,509.75,2024-03-06 00:00:00-05:00
58652085.0,513.14,515.89,509.8053,514.81,2024-03-07 00:00:00-05:00
86532535.0,515.46,518.2201,511.13,511.72,2024-03-08 00:00:00-05:00
62557183.0,510.48,511.88,508.5,511.28,2024-03-11 00:00:00-04:00
73114439.0,513.45,517.38,510.86,516.78,2024-03-12 00:00:00-04:00
55104088.0,517.11,517.29,514.49,515.97,2024-03-13 00:00:00-04:00
110171820.0,516.97,517.125,511.82,514.95,2024-03-14 00:00:00-04:00
107646297.0,510.21,511.7,508.122,509.83,2024-03-15 00:00:00-04:00
88893331.0,514.0,515.48,512.44,512.86,2024-03-18 00:00:00-04:00
60755263.0,512.15,515.995,511.12,515.71,2024-03-19 00:00:00-04:00
69594574.0,515.77,520.62,515.08,520.48,2024-03-20 00:00:00-04:00
